station,line,route,longitude,latitude
Beachmont,BLUE,Bowdoin to Wonderland,-70.9922,42.3975
Revere Beach,BLUE,Bowdoin to Wonderland,-70.9926,42.4078
Wonderland,BLUE,Bowdoin to Wonderland,-70.9918,42.4135
Medford/Tufts,GREEN,E - Medford/Tufts,-71.117325,42.408153
Newton Centre,GREEN,D - Riverside,-71.1925,42.329444
Newton Highlands,GREEN,D - Riverside,-71.205556,42.3225
Eliot,GREEN,D - Riverside,-71.216389,42.318889
Waban,GREEN,D - Riverside,-71.230556,42.325833
Reverside,GREEN,D - Riverside,-71.2521,42.3372
Stony Brook,ORANGE,Forest Hills to Oak Grove,-71.1043,42.3172
Green Street,ORANGE,Forest Hills to Oak Grove,-71.1078,42.3102
Forest Hills,ORANGE,Forest Hills to Oak Grove,-71.11406,42.30073
Malden Center,ORANGE,Forest Hills to Oak Grove,-71.074349,42.426715
Oak Grove,ORANGE,Forest Hills to Oak Grove,-71.070889,42.436942
North Quincy,RED,A - Ashmont  B - Braintree  C - Alewife,-71.0302,42.2758
Wollaston,RED,A - Ashmont  B - Braintree  C - Alewife,-71.01953,42.265638
Quincy Center,RED,A - Ashmont  B - Braintree  C - Alewife,-71.005556,42.251944
Quincy Adams,RED,A - Ashmont  B - Braintree  C - Alewife,-71.008083,42.232894
Braintree,RED,A - Ashmont  B - Braintree  C - Alewife,-71.0014,42.2074
Savin Hill,RED,A - Ashmont  B - Braintree  C - Alewife,-71.0535,42.3109
Fields Corner,RED,A - Ashmont  B - Braintree  C - Alewife,-71.0617,42.3
Shawmut,RED,A - Ashmont  B - Braintree  C - Alewife,-71.06591,42.29371
Ashmont,RED,A - Ashmont  B - Braintree  C - Alewife,-71.0638,42.2843
Cedar Grove,RED,Mattapan,-71.06039,42.27969
Butler,RED,Mattapan,-71.062453,42.272253
Milton,RED,Mattapan,-71.06727,42.27035
Central Avenue,RED,Mattapan,-71.07325,42.26997
Valley Road,RED,Mattapan,-71.081499,42.268352
Capen Street,RED,Mattapan,-71.08744,42.26762
Mattapan,RED,Mattapan,-71.093056,42.2675
